epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
97,3486.65,1.09096,0.61275,1.20795,0.80922,0.91882,0.90951,0.53604,1.12762,0.42367,1.30048,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
98,3522.68,1.08173,0.62278,1.21192,0.81433,0.70528,0.8401,0.48097,1.14078,0.42603,1.31276,0.0287996,0.00959988,0.0287996,0.00959988,0.0287996,0.00959988,0.0287996,0.00959988
99,3558.53,1.09224,0.60601,1.2001,0.96085,0.765,0.87335,0.52391,1.12848,0.4073,1.32026,0.0287873,0.00959575,0.0287873,0.00959575,0.0287873,0.00959575,0.0287873,0.00959575
100,3594.5,1.10466,0.63507,1.21835,0.74003,0.82083,0.83041,0.51965,1.13981,0.45618,1.32617,0.0287749,0.00959163,0.0287749,0.00959163,0.0287749,0.00959163,0.0287749,0.00959163
101,3630.52,1.08868,0.61452,1.20496,0.8379,0.73345,0.869,0.5396,1.15082,0.41963,1.30998,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875
102,3666.56,1.09992,0.61874,1.21097,0.66061,0.85116,0.78746,0.48051,1.14065,0.42819,1.30965,0.0287501,0.00958337,0.0287501,0.00958337,0.0287501,0.00958337,0.0287501,0.00958337
103,3702.44,1.07392,0.61075,1.1996,0.82084,0.83333,0.8671,0.561,1.15883,0.41407,1.31976,0.0287377,0.00957925,0.0287377,0.00957925,0.0287377,0.00957925,0.0287377,0.00957925
104,3738.32,1.07779,0.61403,1.20047,0.8867,0.73744,0.86687,0.5328,1.1332,0.40823,1.30763,0.0287254,0.00957513,0.0287254,0.00957513,0.0287254,0.00957513,0.0287254,0.00957513
105,3774.5,1.08001,0.61036,1.20438,0.80008,0.85517,0.85566,0.5671,1.12121,0.40845,1.31564,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
106,3810.45,1.08501,0.61371,1.21168,0.84648,0.73943,0.85426,0.51279,1.14989,0.43871,1.32362,0.0287006,0.00956688,0.0287006,0.00956688,0.0287006,0.00956688,0.0287006,0.00956688
107,3846.3,1.07192,0.60895,1.19796,0.95902,0.79894,0.90962,0.53854,1.1403,0.40467,1.31922,0.0286882,0.00956275,0.0286882,0.00956275,0.0286882,0.00956275,0.0286882,0.00956275
108,3882.38,1.07999,0.60951,1.2002,0.69891,0.8815,0.86865,0.51615,1.13334,0.41027,1.30589,0.0286759,0.00955863,0.0286759,0.00955863,0.0286759,0.00955863,0.0286759,0.00955863
109,3918.28,1.07727,0.60949,1.20497,0.65622,0.88057,0.84946,0.47361,1.15458,0.42682,1.30716,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
110,3954.26,1.08283,0.61507,1.21128,0.65743,0.9,0.74446,0.46139,1.15419,0.4247,1.3346,0.0286511,0.00955037,0.0286511,0.00955037,0.0286511,0.00955037,0.0286511,0.00955037
111,3990.32,1.06962,0.59717,1.19789,0.71787,0.88109,0.87414,0.51692,1.12402,0.42835,1.30092,0.0286388,0.00954625,0.0286388,0.00954625,0.0286388,0.00954625,0.0286388,0.00954625
112,4026.21,1.07891,0.61106,1.20706,0.84962,0.8632,0.9093,0.55612,1.12773,0.41643,1.30075,0.0286264,0.00954213,0.0286264,0.00954213,0.0286264,0.00954213,0.0286264,0.00954213
113,4062.46,1.06699,0.58704,1.18926,0.80818,0.81067,0.81422,0.52123,1.15147,0.43146,1.30835,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
114,4098.31,1.07782,0.60003,1.19696,0.7912,0.79583,0.83348,0.48833,1.13129,0.43624,1.31776,0.0286016,0.00953387,0.0286016,0.00953387,0.0286016,0.00953387,0.0286016,0.00953387
115,4134.23,1.07166,0.60037,1.19834,0.8662,0.79412,0.87067,0.55693,1.14628,0.41661,1.31384,0.0285893,0.00952975,0.0285893,0.00952975,0.0285893,0.00952975,0.0285893,0.00952975
116,4170.28,1.0656,0.59939,1.20343,0.93312,0.8762,0.91838,0.56765,1.13303,0.42268,1.31543,0.0285769,0.00952562,0.0285769,0.00952562,0.0285769,0.00952562,0.0285769,0.00952562
117,4206.29,1.0517,0.59509,1.19342,0.83313,0.82631,0.87062,0.51087,1.13266,0.40589,1.29889,0.0285645,0.0095215,0.0285645,0.0095215,0.0285645,0.0095215,0.0285645,0.0095215
118,4242.23,1.07322,0.59695,1.19964,0.8732,0.65783,0.79235,0.49622,1.12051,0.41839,1.30343,0.0285521,0.00951737,0.0285521,0.00951737,0.0285521,0.00951737,0.0285521,0.00951737
119,4278.19,1.06742,0.60279,1.19615,0.68742,0.88271,0.83404,0.43713,1.13684,0.42273,1.31356,0.0285397,0.00951325,0.0285397,0.00951325,0.0285397,0.00951325,0.0285397,0.00951325
120,4314.2,1.05093,0.59761,1.18859,0.75291,0.81084,0.82738,0.5387,1.11137,0.4182,1.30456,0.0285274,0.00950913,0.0285274,0.00950913,0.0285274,0.00950913,0.0285274,0.00950913
121,4350.22,1.06512,0.59422,1.19657,0.77113,0.83264,0.88001,0.50477,1.13616,0.4104,1.3116,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
122,4386.16,1.0627,0.59292,1.19477,0.92272,0.73083,0.80492,0.52203,1.12467,0.41286,1.29748,0.0285026,0.00950088,0.0285026,0.00950088,0.0285026,0.00950088,0.0285026,0.00950088
123,4422.09,1.06772,0.5915,1.19942,0.8517,0.79357,0.85449,0.50746,1.15607,0.42872,1.31489,0.0284903,0.00949675,0.0284903,0.00949675,0.0284903,0.00949675,0.0284903,0.00949675
124,4458.1,1.0535,0.5732,1.19115,0.75525,0.83406,0.84809,0.51189,1.1465,0.42814,1.31715,0.0284779,0.00949263,0.0284779,0.00949263,0.0284779,0.00949263,0.0284779,0.00949263
